,,,,,,
Petitioner Location,,,"Petitions by State, Company, and FEIN (Last 4 Digits)",,,
,,,Petitions by U.S. Employer and U.S. Agent1,,,
,,,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,
Grand Total,,,"3,091","3,538",29,651
,,,,,,
Petition by State6,Tax ID,Company Name,,,,
ALABAMA,3490,ALLEE AND ALLEN FARMS LLC,1,1,,
,6907,SCOTT S ORCHARD,1,1,,
,7661,BELLE MEADOW FARM,1,1,,
,9324,ELLIS FARMS,1,1,,1
ALABAMA Total,,,4,4,,1
ALASKA,4457,FRONTIER FARMS AND NURSERY LLC DBA,1,1,,
ALASKA Total,,,1,1,,
ARIZONA,1311,CENTRAL ARIZONA FARMING INC,4,4,,
,,CENTRAL AZ FARMING INC,1,1,,
,3963,ODYSSEY CELLARS,1,1,,
,6777,SILVER CANYON NURSERIES INC DBA WH,1,1,,
,7145,MELBY CUSTOM CONTRACTING INC,1,1,,
,7464,SERVICIOS AGRICOLAS MEX INC,,2,,
,8547,CAN AM PEPPER CO U S A LP,2,2,,1
,8998,AG INSTALLERS INC,6,6,1,2
ARIZONA Total,,,16,18,1,3
ARKANSAS,0276,DOUBLE H AGRI LLC,1,1,,
,0447,BRAD HARROD FARMS,1,1,,
,0621,T PIRANI FARMS GENERAL PARTNERSHIP,1,1,,
,0711,FREELAND FARMS PARTNERSHIP,,,,1
,0730,LESLIE T BROWN FARMS,1,1,,
,0756,GARY LYNN GRICE DBA GRICE FARMS,1,1,,
,0972,DARROW LINN SR,1,1,,
,1090,FARM H2A LLC,1,1,1,
,1587,HILLTOP SOD & LANDSCAPING LLC,,1,,
,1959,BATTURE CO,1,1,,
,2120,HARROD & HENSLEY LLC,,1,,
,2270,LARRY MCCLENDON FARMS,,,,1
,2555,GILLAM FARMS OF ARKANSAS INC,1,1,,
,2690,C&C HOOVER FARMS LLC,1,1,,
,3132,WHITETAIL FARMS,1,1,,
,3187,SSR FARMS,,1,,
,3261,P & E PARTNERS,,,,1
,3614,STRACENER FARMING CO,,,,1
,4666,WAKEFIELD PARTNERS,1,1,,
,4760,RAMOS FARM,1,1,,
,4913,KING FARMS,1,1,,1
,4968,KEITH HOLT FARMS LLC,1,1,,
,5475,GREEN HILL FARMS INC,1,1,,
,5682,PETTER PLANTING LLC,,1,,
,5968,LOWRY FARMS INC,4,4,1,3
,6450,THOMAS CATTLE FARMS LLC,1,1,,
,7034,WATKINS FAMILY PARTNERSHIP,1,1,,
,7238,BENSON CREEK PRODUCE LLC,1,1,,
,7651,BRICKEYS GRAIN CO,1,1,,
,8005,DOUBLE D FARMS,1,1,,
,8101,GERRY HARRIS FARM INC,,1,,
,8370,HOPPER STEPHENS HATCHERIES INC,1,1,,
,8545,CASTONS BLUEBERRIES,1,1,,
,8584,FLORENDEN FARMS,1,1,,
,8746,THREE E FARMS,,,,1
,8789,JOHNSVILLE FARMS LLC,1,1,,
,9877,BRADLEY LABOR GROUP LLC,1,1,,
,,BRADLEY LABOR GRP LLC,1,1,,
ARKANSAS Total,,,31,36,2,9
CALIFORNIA,,MAC AG INC,1,1,,
,,MR MODESTO DOMINGUEZ RANCH,,,,1
,,WESTERN RANGE ASSO,,,,1
,,WESTERN RANGE ASSOCIATION,,,,3
,,(blank),1,1,,2
,0039,LA PALMA FARMS INC,1,1,,
,0333,PREMIUM PACKING INC,2,2,,
,0427,LUCKY AG INC,1,1,,
,0609,FOUR WINDS FARM LLC,,,,1
,0718,PACIFICA PERSONNEL INC,2,3,,
,0790,TIRADO VINEYARDS,,1,,
,1021,MARTINEZ FARMING,1,1,,
,1126,MOUNTAIN AVENUE BEES INC,1,1,,
,1376,COASTAL FARM LABOR SVCS INC,1,1,,
,1584,BEVILL VENEYARD MGMT LLC,1,1,,
,1920,CHARLES AND MARTHA BARRA DBA REDWO,1,1,,
,1975,GERAWAN FARMING INC,1,1,,
,2035,J C HARVESTING CORP,3,3,,
,2565,L JOHNSON EQUIPMENT RENTALS,,,,1
,2607,WEST COAST TOMATO GROWERS INC,2,2,,
,,WEST COAST TOMATO GROWERS LLC,,1,,
,2637,CRISALIDA BERRY FARMS LLC,1,1,,
,2898,MUNGER FARMS LLC,1,1,,
,2971,FRESH HARVEST INC,39,39,,7
,2995,UNITED HONEYBEES INC,,,,1
,3008,JR CUSTOM HARVESTING CO INC,,,,1
,3408,AFTERMARKET INSURANCE MARKETING IN,,,,1
,3486,CROWNE COLD STORAGE LLC,2,2,,
,3791,LUCKY STAR MARKETING LLC,1,1,,
,3801,GLOBAL HORIZONS INC,,,,1
,3845,E&A FARMING,1,1,,
,4686,EMPIRE FARM LABOR CONTRACTOR LLC,1,1,,
,4846,ALDER SPRINGS VINEYARD,1,1,,
,4918,JACCO FARMS INC,1,1,,
,4932,FOOTHILL PACKING INC,1,1,,
,4940,(blank),1,1,,
,5343,CFE FARMS INC,1,1,,
,5389,SAVINO FARMS INC,,,,1
,5546,RANCHO NUEFO HARVESTING INC,1,1,,
,,RANCHO NUEVO HARVESTING INC,4,4,,1
,5659,JMC FARMING INC,,1,,
,5897,FRESH VALUE FARMS,1,1,,
,6023,STARRH BEES INC,1,1,,
,6062,D & J PACKING LLC,3,3,,
,6407,A OSEGUERA CO INC,1,1,1,
,6423,L&L VINEYARDS,1,1,,
,6499,IXTAPA FARMING,,1,,
,6586,V 6 RANCH,,,,1
,6668,BUENAVENTURA RANCH LLC,1,1,,
,7110,GREEN GOLD RANCH,1,1,,
,7471,JP HONEY FARMS INC,,1,,
,7677,PEREZ BROS FARMS INC,1,1,,
,7746,ISA CONTRACTING INC,1,1,,
,7914,BENEDICT S PRODUCE,1,1,,
,8512,HUMBERTO CASTANEDA PRODUCE,,1,,
,8590,ORFA S FARMING,1,1,,
,8829,CARNEROS CREEK WINERY INC,1,1,,
,9063,FUTURE AG MANAGEMENT INC,1,1,,
,9183,SARC INC,2,2,,
,9324,SARBANAND FARMS LLC,1,1,,1
,9409,FERRARI CARANO VINEYARDS & WINERY,1,1,,
,9948,ELKHORN PACKING CO LLC,13,14,,2
CALIFORNIA Total,,,107,115,1,26
COLORADO,,MATTHEW PROCTOR FARMS,1,1,,
,0351,ROCKY MOUNTAIN PEACH,1,1,,
,0538,JOHN FREDRICK HAROLD DBA TUXEDO CO,1,1,,
,0999,BOB ROGERS FARMS INC,1,1,,
,1022,RAY DOMENICO FARMS INCORPORATED,2,2,,
,1051,(blank),1,1,,
