,,,,,,
Petitioner Location,,,"Petitions by State, Company, and FEIN (Last 4 Digits)",,,
,,,Petitions by U.S. Employer and U.S. Agent1,,,
,,,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,
Grand Total,,,"5,175","5,107",21,432
,,,,,,
Petitions by State6,,,,,,
Alabama,3105,MORRIS & MORRIS FARMS,1,1,,
,3490,ALLEE AND ALLEN FARMS LLC,1,1,,
,6907,SCOTT S ORCHARD,1,1,,
,7032,AMERICAN SPORTFISH HATCHERY MGMT G,1,1,,
Alabama Total,,,4,4,,
Alaska,1726,MOSESIAN FARMS OF ALASKA INC,2,1,,1
,4457,FRONTIER FARMS AND NURSERY LLC DBA,1,,,1
Alaska Total,,,3,1,,2
Arizona,1311,CENTRAL ARIZONA FARMING INC,1,1,,
,4031,DV FARMS LLC,1,1,,
,5204,THE GROWERS CO INC,1,1,,
,6324,AUZA RANCHES LLC,1,1,,
,7464,SERVICIOS AGRICOLAS MEX INC,1,1,,
,7774,ARIZONA APIARIES LLC,1,1,,
,8065,CRANE HARVESTING & TRUCKING INC,1,,,1
,8852,TAYLOR S HERB GARDEN OF AZ INC,1,1,,
,8998,AG INSTALLERS INC,3,2,,1
,9335,KENLY FARMS INC,1,1,,
Arizona Total,,,12,10,,2
Arkansas,65,JERRY FULLER FARMS,1,1,,
,66,TERRY R FULLER,1,,,1
,89,A & A FARMS,1,1,,
,183,BRIAN STONER FARMS,1,1,,
,190,DAVID WILDY FARMS,1,1,,
,210,PENN BROTHER PTR LANDLEVELING,1,1,,
,276,DOUBLE H AGRI LLC,1,1,,
,447,BRAD HARROD FARMS,2,2,,
,612,T PIRANI FARMS GENERAL PARTNERSHIP,1,1,,
,711,FREELAND FARMS PARTNERSHIP,1,1,,
,730,LESLIE T BROWN FARMS,1,1,,
,734,BARNHILL ORCHARDS,1,1,,
,756,GARY LYNN GRICE DBA LYNN GRICE FAR,1,1,,
,972,DARROW LINN SR,1,1,,
,1039,PATTSVILLE FARMS INC,1,1,,
,1064,HARRY SAUL MINNOW FARM INC,1,1,,
,1090,FARM H2A LLC,1,1,,
,1274,SANDAGE FARMS,1,1,,
,1444,HARTLEY FLYING SVC INC,1,1,,
,1456,AIRMAN INC,1,1,,
,1477,CAVENAUGH PLANTING PARTNERSHIP,2,2,,
,1543,FIVE OAKS WILDLIFE SVCS LLC,1,1,,
,1576,DIVERSIFIED SVCS LAWN AND GARDEN C,1,1,,
,1849,LAKE VILLAGE SEED AND TIRE CO INC,1,1,,
,1880,MID SOUTH FARMING COMPANY,1,1,,
,1942,TLH FARMS,1,1,,
,1963,SOUTHERN WHEEL & IRON WORKS ALP,1,1,,
,1991,CHARLES MENCER FARMS,1,1,,
,2005,ZACHARY NORTHCUTT FARMS,1,1,,
,2120,HARROD AND HENSLEY TOMATO LLC,2,1,,1
,2198,ROB AND COURT FARMS,1,1,,
,2241,HORSESHOE CANYON RANCH LLC,1,1,,
,2265,RICE AG SERVICE INC,1,1,,
,2270,LARRY MCCLENDON FARMS,,,,1
,2394,KODIAK FARMING CO INC,1,1,,
,2417,S&K FARMS PARTNERSHIP,1,1,,
,2492,E & E FARMS INC,1,1,,
,2565,AGC FARMS PARTNERSHIP,1,1,,
,2597,GODWIN FARMS PARTNERSHIP,1,,,1
,2651,HARRELL FARMS,1,1,,
,2964,T AND M FARMS,2,2,,
,2992,OXNER AG PARTNERSHIP,1,1,,
,3035,JBR FARMS OF HOXIE INC,1,1,,
,3099,D&C WARREN FARMS,1,1,,
,3132,WHITETAIL FARMS,,1,,
,3157,PRICE FAMILY FARMING CO,1,1,,
,3187,SSR FARMS,1,1,,
,3228,S E RICE CO,1,1,,
,3242,KDL FARMS LLC,1,1,,
,3261,P & E PARTNERS,,,,1
,3280,TWO RIVERS NURSERY,,1,,
,3614,STRACENER FARMING CO,1,1,,
,3659,GOLDEN FARMS PARTNERSHIP,1,1,,
,3851,DELTA VALLEY FARMS LLC,1,2,,
,3949,MEDFORD AND SONS,1,1,,
,3982,LONG LAKE PLANTATION,1,1,,
,3983,CLANTON FARMS LLC,1,1,,
,3987,STEPHENS PARTNERSHIP,1,1,,
,4015,C R C FARMS,1,,,1
,4371,BENWOOD FARMS,1,1,,
,4446,GILL BROTHERS FARMS,1,1,,
,4572,STILES EQUIPMENT LLC,1,1,,
,4760,RAMOS FARM,2,2,,
,4907,STOREY FARMS INC,1,1,,
,4913,KING FARMS,1,1,,
,4952,G AND L SKINNER FARMS,1,1,,
,5008,DRIVER FARMS PARTNERSHIP,1,1,,
,5263,GAIRHAN FARMS INC,,1,,
,5282,WINROCK FARMS INC,1,1,,
,5475,GREEN HILL FARM INC,1,1,,
,5490,CHRIS & TASHA WARREN FARMS,2,2,,
,5580,CARNATHAN FAMILY FARMS,1,1,,
,5682,PETTER PLANTING LLC,1,1,,
,5865,MADDING ASSOCIATION,1,1,,
,5960,KING FARM PARTNERSHIP,1,1,,
,5964,STEPHEN & BRENT DAVIS FARM,,1,,
,5968,LOWRY FARMS INC,,,,1
,,LOWRY FARMS NC,,1,,
,6132,AG INC,1,1,,
,6165,TYCALL FARMS INC,1,1,,
,6189,SWIFT DITCH FARMS PTR,1,1,,
,6353,FARM CAT INC,,1,,
,6450,THOMAS CATTLE FARMS LLC,1,1,,
,6642,ADAM CHAPPELL FARMS,1,1,,
,6646,DUNNAHOE FARMS,1,1,,
,6700,HERRERA FARMING CO,1,1,,
,6753,POOL FISHERIES INC,1,1,,
,6798,JOHN P BAIONI FARMS,1,1,,
,7177,LANNY BOSNICK AND SONS PARTNERSHIP,1,1,,
,7243,BRANTLEY FARMING CO,1,1,,
,7362,JM MALONE AND SON INC,,1,,
,7555,ANDERSON FARMS,1,1,,
,7580,CALEB JONES FARMS,1,1,,
,7617,STAN SWEENEY LLC,1,1,,
,7651,BRICKEYS GRAIN CO,2,1,,1
,7762,I F ANDERSON FARMS INC,1,1,,
,8005,DOUBLE D FARMS,1,1,,
,8017,M & D FARMS,1,1,,
,8033,JAK APPLICATION LLC,1,1,,
,8089,JCA FARMS PARTNERSHIP,1,1,,
,8153,POPLAR RIDGE FARMS GP,1,1,,
,8370,HOPPER STEPHENS HATCHERIES INC,1,1,,
,8399,HOLLAND BOTTOM FARM LLC,1,1,,
,8524,TINSLEY FARMS PARTERNSHIP,1,1,,
,,TINSLEY FARMS PARTNERSHIP,1,1,,
,8545,CASTONS BLUEBERRIES,1,1,,
,8584,FLORENDEN FARMS,,1,,
,8705,RIVER VALLEY HORTICULTURAL PRODUCT,,1,,
,8739,RED RIVER FARMS,1,1,,
,8746,THREE E FARMS,,,,1
,8789,JOHNSVILLE FARMS LLC,1,1,,
,8926,TOWNLEY TOMATO FARMS ROBERTO B TAT,1,1,,
,8938,BILLY HINKLE FARMS PARTNERSHIP,1,1,,
,8940,CIRCLE P FARMS,1,1,,
,8969,F & F COMPANIES,1,1,,
,9035,3M PLANTING CO,1,1,,
,9169,MARTY & PASTY WHITE FARMS GP,1,1,,
,9198,SOUTHALL FARMS,1,1,,
,9225,BCM FARMS PARTNERSHIP,1,1,,
,9543,EAT RICE INC,1,1,,
,9562,NTB FARMS PARTNERSHIP,1,1,,
,9759,DAVID AND LALAIN WILKINSON FARMS P,1,1,,
,9888,JIMEL FARMS INC,1,1,,
,9911,COFFEE CREEK FARMS,1,1,,
,9914,ELDON REED FARMS INC,1,1,,
,9940,PACCO IRRIGATION AND FARM SUPPLY C,1,1,,
Arkansas Total,,,120,125,,9
California,,BIG F COMPANY INC,1,1,,
,,GLEZ FARMS,1,1,,
,,MR MODESTO DOMINGUEZ RANCH,,,,1
,,RODRIQUEZ BROS RANCH LL,1,1,,
,,WESTERN RANGE ASSO,,,,1
,,WESTERN RANGE ASSOCIATION,,,,1
,,(blank),,,,1
,330,BROTHERS BEST PRODUCE,1,1,,
,333,PREMIUM PACKING INC,1,1,,
,427,LUCKY AG INC,1,1,,
,609,FOUR WINDS FARM LLC,,,,1
,718,PACIFICA PERSONNEL INC,8,8,,
,744,HIGUERA FARMS INC,1,1,,
,790,TIRADO VINEYARDS,1,1,,
,870,CF FARMING INC,1,1,,
,927,TALLEY FARMS,1,1,,
,929,BOWLAND VINEYARD MGMT INC,1,,,1
,1126,MOUNTAIN AVENUE BEES INC DBA WOLF,1,1,,
,1205,CARDENAS BROS FARMING CO INC,1,1,,
,1224,ROLAND S MONTEMAYOR,1,1,,
,1351,PINE RIDGE WINERY LLC,1,1,,
,1376,COASTAL FARM LABOR SVCS INC,2,3,,
,1500,FLOWERS VINEYARD & WINERY,,1,,
,1562,"MAGANA LABOR SVCS, INC.",1,1,,
,1584,BEVILL VINEYARD MGMT LLC,1,1,,
,1776,RIVER VISTA FARMS,1,1,,
,1920,CHARLES AND MARTHA BARRA DBA REDWO,1,1,,
,1930,VALLEY PRIDE INC,1,1,,
,2035,J C HARVESTING CORP,1,,,1
,2365,MARTINELLI VINEYARD MGMT INC,1,1,,
,2565,L JOHNSON EQUIPMENT RENTALS,,,,1
,2607,WEST COAST TOMATO GROWERS INC,1,2,,
,2637,CRISALIDA BERRY FARMS LLC,1,1,,
,2719,MANUEL PEREZ FARMING,1,1,,
,2815,DUTTON RANCH CORP,1,1,,
,2971,FRESH HARVEST INC,21,23,,2
,,FRESH HARVESTING IN,1,1,,
,,FREST HARVEST INC,1,1,,
,3008,JR CUSTOM HARVESTING CO INC,1,1,,
,3027,RODRIGUEZ BROS RANCH LLC,1,1,,
,3263,QUALITY PRODUCE LLC,1,1,,
,3390,HERRICK NURSERY LLC,1,1,,
,3408,AFTERMARKET INS BROKERAGE DBA AIM,1,,,1
,3446,SANTILLAN FARMS,1,1,,
,3704,ROBERTO PEREZ FARMS,1,,,1
,3969,REYNAGA APIARIES HONEY & POLLINATI,1,1,,
,4199,RICK ARROWSMITH,1,1,,
,4660,ROBLEDO RANCHES,1,1,,
,4686,EMPIRE FARM LABOR CONTRACTOR LLC,1,1,,
,4706,UHB LLC UNITED HONEYBEES,1,1,,
,4797,GRIEVE ENTERPRISES,,1,,
,4846,R STUART BEWLEY DBA ALDER SPRINGS,1,1,,
,4918,JACCO FARMS INC,1,1,,
,4932,FOOTHILL PACKING INC,12,10,,2
,5315,MENDOZA BROS FARMING INC,2,2,,
,5538,SAVINO FARMS INC,1,1,,
,5546,RANCH NUEVO HARVESTING INC,1,,,1
,,RANCHO NUEVO HARVESTING INC,9,7,,2
,5769,BALLETTO RANCH INC,1,1,,
,6062,D & J PACKING LLC,1,1,,1
,6107,FLOWING GOLD APIARIES,1,1,,
,6403,YB FARMING INC,1,1,,
,6407,A OSEGUERA CO INC,1,1,,2
,6423,L&L VINEYARDS,1,1,,
,6499,IXTAPA FARMING,1,,,1
,7180,RISCO FARMS INC,1,1,,
,7301,VENEGAS FARMING LLC,1,1,,
,7406,TERRY HUGHES FARM,1,1,,
,7471,JP HONEY FARMS INC,1,1,,
,7677,PEREZ BROS FARMS INC,1,,,1
,7924,HIRSCH VINEYARDS LLC,1,1,,
,8068,LA FUENTE FARMING INC,1,1,,
,,RANCHO DEL MAR INC,1,,,1
